ID,Customer.Code,Sentimental.Score,text
72,15005261,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
73,15004235,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
74,15005444,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
75,15000255,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
76,15006839,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
77,15005496,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
78,15008790,0,"RT @BofA_Tips: When you have financial questions, we're here for you. Start the conversation at a new @BankofAmerica location in #Pittsburg…"
79,15005709,2,@BHLevesque I had my car payment come out “automatically “ from @BankofAmerica #Checking it worked amazing:)
80,15003637,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
81,15007850,0,"@BankofAmerica COME ON FAMILY &amp; FRIENDS GO &amp; SUBSCRIBE, LIKE, COMMENT &amp; SHARE MY YOUTUBE CHANNEL PLEASE &amp; THANK YOU… https://t.co/1WTEIS8mXy"
82,15001074,0,@BofA_News ‘Cause buying a home in a major city is a one-way ticket to an upside-down mortgage &amp; eventual bankruptc… https://t.co/812CstN5go
83,15002050,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
84,15002276,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
85,15000188,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
86,15006341,2,Thank you to an amazing group of Leaders sharing their wisdom on overcoming barriers to career advancement!… https://t.co/9STEwQhKtc
87,15009976,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
88,15007956,2,"RT @BankofAmerica: We’re proud to support our partners at the National Museum of African American History and Culture, @NMAAHC, who have th…"
